MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21318984,567109.0,85737,-110.964597,32.404235,0.42,3485.0,2013,3,3.0,2700.0,3.0,4,1.0,2,45.0
21706672,552000.0,85750,-110.87237,32.322947,0.83,6576.0,1990,5,3.0,4071.0,2.0,5,2.0,3,45.0
21726531,569000.0,85742,-111.074849,32.387779,4.34,6652.92,2002,4,3.0,3140.0,3.0,6,1.0,2,45.0
21721688,532800.0,85637,-110.644308,31.668299,14.9,5098.71,1963,5,5.0,6427.0,0.0,2,1.0,3,45.0
21817527,569000.0,85718,-110.89741,32.326631,1.0,5636.05,1977,4,4.0,2793.0,2.0,10,2.0,2,45.0
21823899,550000.0,85623,-110.922016,32.585102,0.19,3154.32,2008,2,3.0,2297.0,3.0,10,1.0,2,45.0
21819209,515000.0,85641,-110.639133,32.126069,6.03,2521.39,1970,4,5.0,4222.0,3.0,11,3.0,1,45.0
21823851,550000.0,85704,-110.97453,32.303114,2.43,5173.54,1951,5,3.0,3000.0,3.0,8,1.0,1,45.0
21912651,557000.0,85715,-110.850396,32.252949,0.58,4971.45,1963,4,4.0,3155.0,0.0,10,2.0,2,45.0
21914564,550000.0,85711,-110.863154,32.22372,0.59,3133.47,1961,5,3.0,3083.0,0.0,7,1.0,3,45.0
21920357,550000.0,85750,-110.817653,32.276435,0.53,4890.13,1981,5,3.0,3375.0,2.0,8,3.0,4,45.0
21331910,568963.0,85658,-111.069398,32.434828,0.21,892.04,2013,4,3.0,2760.0,2.0,5,1.0,1,45.0
21803815,563000.0,85658,-111.052352,32.434883,0.83,7429.9,2013,4,3.0,2868.0,3.0,12,1.0,1,45.0
21401424,495000.0,85742,-111.060928,32.394661,3.32,4929.16,1994,4,4.0,3897.0,4.0,5,1.0,2,45.0
21816429,557000.0,85623,-110.926474,32.586511,0.21,3557.58,2013,3,4.0,2819.0,3.0,12,2.0,2,45.0
21827531,562000.0,85749,-110.727649,32.258795,0.94,5304.36,1997,4,3.0,3525.0,3.0,11,1.0,3,45.0
21611691,555000.0,85750,-110.853032,32.32219,0.14,5167.93,1999,3,3.0,2191.0,2.0,4,1.0,2,45.0
21901846,555000.0,85750,-110.821745,32.302083,0.56,3773.68,1978,4,2.0,2559.0,2.0,9,1.0,2,45.0
21907937,568000.0,85716,-110.93219,32.224218,0.24,3943.5,1949,3,3.0,2852.0,1.0,12,1.0,2,45.0
21829834,537000.0,85718,-110.908785,32.325834,0.69,4929.25,1970,4,3.0,2656.0,2.0,10,1.0,1,45.0
21408647,567796.0,85749,-110.736693,32.288927,0.99,1287.0,2014,3,3.0,3051.0,3.0,4,0.0,2,45.0
21826451,567608.0,85658,-111.106487,32.468775,0.29,1140.97,2018,3,4.0,2387.0,3.0,9,0.0,2,45.0
21728991,550000.0,85737,-110.969236,32.409312,0.51,6193.5,2003,3,3.0,2507.0,3.0,11,2.0,2,45.0
21704135,530000.0,85658,-111.068804,32.44745,0.28,4305.3,2007,2,2.0,2070.0,2.0,5,2.0,3,45.0
21809970,550000.0,85737,-111.009574,32.420231,0.47,6731.96,2015,4,3.0,3575.0,4.0,8,0.0,2,45.0
21815941,550000.0,85718,-110.889361,32.278672,0.67,5491.0,1976,4,4.0,4139.0,2.0,11,2.0,2,45.0
